track,frame_idx,instance.score,torso_back.x,torso_back.y,torso_back.score,torso_front.x,torso_front.y,torso_front.score,head.x,head.y,head.score,far_ankle.x,far_ankle.y,far_ankle.score,far_toe_base.x,far_toe_base.y,far_toe_base.score,far_toe_tip.x,far_toe_tip.y,far_toe_tip.score,near_ankle.x,near_ankle.y,near_ankle.score,near_toe_base.x,near_toe_base.y,near_toe_base.score,near_toe_tip.x,near_toe_tip.y,near_toe_tip.score,tail_base.x,tail_base.y,tail_base.score,tail_tip.x,tail_tip.y,tail_tip.score
,0,,81.92595964749351,191.2043230913451,,280.6623638926324,194.61682440693107,,284.0507536821584,37.1721048226638,,114.1317156945826,319.16694588089274,,114.56467529648711,414.623370884646,,113.05798242876602,458.7369484513333,,205.90084580172947,347.15085313049656,,253.12353386934996,433.84849210176947,,294.76995516489444,464.8629990569943,,77.29893396976613,210.2016072708247,,6.661062032464031,158.2605053384969,
,1,,83.92100524902344,197.9691925048828,,281.9319152832031,193.98004150390625,,284.43851337347365,37.78554349574935,,113.86064910888672,318.0013732910156,,113.18758285672138,414.3699614413978,,113.02433371958278,459.4724899935323,,204.95242256527018,348.6101878355165,,256.79981785680246,436.2986005853021,,297.010428736964,464.8341933941057,,76.19930475086909,210.2433371958285,,4.4495944380069545,157.40440324449597,
,2,,83.92096710205078,197.96922302246094,,281.9319763183594,193.98007202148438,,286.558516801854,37.38804801181114,,113.86074829101562,318.0018615722656,,116.84229930151773,414.07698207152697,,111.04129551128018,459.3128036457131,,204.39652080690593,349.7231052438464,,254.56942856574574,435.3230848765877,,294.17094727841584,463.0400701093872,,76.75550405561992,210.2433371958285,,6.118192352259541,158.51680185399766,
,3,,83.92098236083984,197.9692840576172,,281.93206787109375,193.98001098632812,,285.70921542799334,37.002052667011725,,113.86056518554688,318.00140380859375,,116.24565469293165,415.2763760628403,,111.01599379333635,458.77070938044585,,203.28370258070504,348.610279388251,,302.1320973348783,466.17280986269685,,256.3709184633614,436.874710612046,,72.86210892236383,209.68713789107764,,4.4495944380069545,160.7415990730011,
,4,,81.92312416155224,196.51221397329726,,279.8264984227129,193.54293725902565,,283.7255520504732,38.2968804766912,,114.3059936908518,317.15177006659667,,114.72239747634069,414.8300035050824,,107.58044164037861,453.7416754293726,,204.12933753943219,346.7921486154926,,259.11356466876975,442.4009814230635,,294.83911671924284,463.81423063442,,73.41830822711472,209.68713789107767,,3.8933951332561207,159.07300115874855,
,5,,83.88589477539062,197.96780395507812,,280.097412109375,193.93988037109375,,284.0320354261606,37.429181857938374,,112.12716674804688,318.0276794433594,,115.68945538818082,414.4141947932669,,113.54778999269496,459.65422875493607,,205.49868076894677,349.18521648597056,,257.63615295480884,436.72165940682896,,300.34762456546935,466.1103279244173,,75.08690614136734,211.91193511008112,,6.674391657010432,158.51680185399766,
,6,,80.81072555205051,194.28741675429376,,279.8264984227129,192.02874167542944,,283.7255520504732,38.2968804766912,,114.3059936908518,317.15177006659667,,114.72239747634069,414.8300035050824,,107.58044164037861,453.7416754293726,,204.12933753943219,346.7921486154926,,259.11356466876975,442.4009814230635,,294.83911671924284,463.81423063442,,73.97450753186558,212.46813441483195,,6.67439165701046,157.40440324449594,
,7,,82.06733703613281,196.06163024902344,,280.0738830566406,194.01025390625,,283.98797607421875,37.966697692871094,,113.96855163574219,318.0235900878906,,115.99188232421875,414.0151672363281,,110.05548095703125,456.0483703613281,,205.97509765625,349.9441223144531,,257.95867919921875,438.0628967285156,,297.9551696777344,463.94891357421875,,75.08690614136736,213.5805330243337,,6.674391657010403,160.74159907300117,
,8,,80.81072555205051,194.28741675429376,,279.8264984227129,192.02874167542944,,283.7255520504732,38.2968804766912,,114.3059936908518,317.15177006659667,,114.72239747634069,414.8300035050824,,107.58044164037861,453.7416754293726,,204.12933753943219,346.7921486154926,,259.11356466876975,442.4009814230635,,294.83911671924284,463.81423063442,,74.53070683661645,213.58053302433373,,6.11819235225957,160.1853997682503,
,9,,117.8812026977539,211.84622192382812,,318.0342712402344,208.05799865722656,,321.0909480762506,43.011625669563756,,137.9391326904297,319.8721923828125,,186.68313236591575,404.88026299471636,,149.61761297798378,439.9172423215301,,209.82508850097656,358.1155090332031,,237.4971031286211,442.5266091352329,,267.7479436394232,470.5474373123001,,106.79026651216685,225.26071842410195,,33.37195828505216,164.63499420625726,
